업종대분류(UPJONG_CLASS1),기준일자(YMD),시간대구간(TIME),고객주소집계구별(TOT_REG_CD),카드이용금액계(AMT_CORR),카드이용건수계(USECT_CORR)
전자상거래,20180607,3,1.12E+12,601588,5
가정생활/서비스,20170709,2,1.11E+12,11394962,50
전자상거래,20210530,4,1.12E+12,182086,30
유통,20180526,4,1.11E+12,111666,30
전자상거래,20200507,4,1.12E+12,175044,35
요식/유흥,20170419,3,1.12E+12,106133,5
유통,20200621,3,1.12E+12,924514,5
유통,20190619,4,1.12E+12,643040,10
자동차/주유,20160201,4,1.12E+12,43258,25
가정생활/서비스,20160424,5,1.10E+12,1328624,5
가정생활/서비스,20190324,5,1.12E+12,30180,25
요식/유흥,20190819,4,1.10E+12,661445,30
전자상거래,20180318,2,1.12E+12,845040,10
의료,20200906,5,1.10E+12,940132,45
스포츠/문화/레저,20210101,3,1.11E+12,45270,15
유통,20200809,1,1.12E+12,156785,5
전자상거래,20190629,2,1.11E+12,60360,5
요식/유흥,20180101,2,1.12E+12,6539,40
스포츠/문화/레저,20210606,4,1.12E+12,627090,5
교육/학원,20181103,5,1.11E+12,316890,15
요식/유흥,20160420,3,1.12E+12,210757,10
요식/유흥,20170511,4,1.11E+12,146373,5
교육/학원,20210714,4,1.11E+12,2012,5
유통,20170321,5,1.12E+12,251500,80
가정생활/서비스,20210203,3,1.12E+12,897101,5
가정생활/서비스,20161128,3,1.12E+12,997449,5
의료,20160615,2,1.11E+12,104624,55
의료,20191119,4,1.11E+12,78468,50
가정생활/서비스,20190501,3,1.11E+12,50300,5
전자상거래,20160212,2,1.12E+12,20120,10
전자상거래,20210129,6,1.11E+12,712701,30
스포츠/문화/레저,20170714,3,1.10E+12,52815,5
전자상거래,20200510,4,1.11E+12,30180,45
전자상거래,20160106,4,1.12E+12,10060,5
의료,20180413,4,1.12E+12,894988,106
스포츠/문화/레저,20190316,4,1.12E+12,90540,5
자동차/주유,20170929,3,1.11E+12,18611,35
요식/유흥,20210202,2,1.12E+12,1372586,5
스포츠/문화/레저,20171207,3,1.13E+12,565271,5
의료,20160427,2,1.11E+12,910933,10
유통,20181214,3,1.10E+12,722308,5
유통,20190916,1,1.12E+12,17605,30
요식/유흥,20170412,2,1.11E+12,12575,70
전자상거래,20180126,5,1.11E+12,331980,5
의료,20170211,5,1.12E+12,373729,20
유통,20160614,6,1.12E+12,50300,45
요식/유흥,20210425,4,1.12E+12,459742,5
전자상거래,20170808,3,1.11E+12,301800,5
자동차/주유,20180531,5,1.11E+12,2157870,35
스포츠/문화/레저,20160731,4,1.10E+12,48791,50
요식/유흥,20160326,1,1.12E+12,716825,5
전자상거래,20180619,4,1.13E+12,65390,10
전자상거래,20170727,2,1.12E+12,90540,25
유통,20190406,3,1.12E+12,1211325,20
교육/학원,20210107,3,1.12E+12,266590,15
전자상거래,20200426,4,1.11E+12,547264,25
스포츠/문화/레저,20160625,4,1.10E+12,10559831,5
